Comunidad autónoma de residencia del fallecido;Mes;Sexo;Total
Cataluña;Junio;Varones;2.250
Cataluña;Junio;Mujeres;2.299
Comunitat Valenciana;Total;Total;24.398
Comunitat Valenciana;Total;Varones;12.610
Comunitat Valenciana;Total;Mujeres;11.788
Comunitat Valenciana;Enero;Total;4.523
Comunitat Valenciana;Enero;Varones;2.352
Comunitat Valenciana;Enero;Mujeres;2.171
Comunitat Valenciana;Febrero;Total;3.847
Comunitat Valenciana;Febrero;Varones;1.994
Comunitat Valenciana;Febrero;Mujeres;1.853
Comunitat Valenciana;Marzo;Total;4.678
Comunitat Valenciana;Marzo;Varones;2.476
Comunitat Valenciana;Marzo;Mujeres;2.202
Comunitat Valenciana;Abril;Total;4.495
Comunitat Valenciana;Abril;Varones;2.288
Comunitat Valenciana;Abril;Mujeres;2.207
Comunitat Valenciana;Mayo;Total;3.544
Comunitat Valenciana;Mayo;Varones;1.817
Comunitat Valenciana;Mayo;Mujeres;1.727
Comunitat Valenciana;Junio;Total;3.311
Comunitat Valenciana;Junio;Varones;1.683
Comunitat Valenciana;Junio;Mujeres;1.628
Extremadura;Total;Total;6.813
Extremadura;Total;Varones;3.411
Extremadura;Total;Mujeres;3.402
Extremadura;Enero;Total;1.205
Extremadura;Enero;Varones;620
Extremadura;Enero;Mujeres;585
Extremadura;Febrero;Total;999
Extremadura;Febrero;Varones;472
Extremadura;Febrero;Mujeres;527
Extremadura;Marzo;Total;1.315
Extremadura;Marzo;Varones;683
Extremadura;Marzo;Mujeres;632
Extremadura;Abril;Total;1.403
Extremadura;Abril;Varones;666
Extremadura;Abril;Mujeres;737
Extremadura;Mayo;Total;1.020
Extremadura;Mayo;Varones;515
Extremadura;Mayo;Mujeres;505
Extremadura;Junio;Total;871
Extremadura;Junio;Varones;455
Extremadura;Junio;Mujeres;416
Galicia;Total;Total;16.518
Galicia;Total;Varones;7.989
Galicia;Total;Mujeres;8.529
Galicia;Enero;Total;3.303
Galicia;Enero;Varones;1.575
Galicia;Enero;Mujeres;1.728
Galicia;Febrero;Total;2.775
Galicia;Febrero;Varones;1.317
Galicia;Febrero;Mujeres;1.458
Galicia;Marzo;Total;2.987
Galicia;Marzo;Varones;1.511
Galicia;Marzo;Mujeres;1.476
Galicia;Abril;Total;2.970
Galicia;Abril;Varones;1.425
Galicia;Abril;Mujeres;1.545
Galicia;Mayo;Total;2.407
Galicia;Mayo;Varones;1.159
Galicia;Mayo;Mujeres;1.248
Galicia;Junio;Total;2.076
Galicia;Junio;Varones;1.002
Galicia;Junio;Mujeres;1.074
Madrid, Comunidad de;Total;Total;40.710
Madrid, Comunidad de;Total;Varones;20.088
Madrid, Comunidad de;Total;Mujeres;20.622
Madrid, Comunidad de;Enero;Total;4.592
Madrid, Comunidad de;Enero;Varones;2.150
Madrid, Comunidad de;Enero;Mujeres;2.442
Madrid, Comunidad de;Febrero;Total;3.896
Madrid, Comunidad de;Febrero;Varones;1.908
Madrid, Comunidad de;Febrero;Mujeres;1.988
Madrid, Comunidad de;Marzo;Total;12.517
Madrid, Comunidad de;Marzo;Varones;6.755
Madrid, Comunidad de;Marzo;Mujeres;5.762
Madrid, Comunidad de;Abril;Total;12.104
Madrid, Comunidad de;Abril;Varones;5.574
Madrid, Comunidad de;Abril;Mujeres;6.530
Madrid, Comunidad de;Mayo;Total;4.209
Madrid, Comunidad de;Mayo;Varones;2.056
Madrid, Comunidad de;Mayo;Mujeres;2.153
Madrid, Comunidad de;Junio;Total;3.392
Madrid, Comunidad de;Junio;Varones;1.645
Madrid, Comunidad de;Junio;Mujeres;1.747
Murcia, Región de;Total;Total;6.032
Murcia, Región de;Total;Varones;3.120
Murcia, Región de;Total;Mujeres;2.912
Murcia, Región de;Enero;Total;1.197
Murcia, Región de;Enero;Varones;592
Murcia, Región de;Enero;Mujeres;605
Murcia, Región de;Febrero;Total;1.013
Murcia, Región de;Febrero;Varones;547
Murcia, Región de;Febrero;Mujeres;466
Murcia, Región de;Marzo;Total;1.060
Murcia, Región de;Marzo;Varones;542
Murcia, Región de;Marzo;Mujeres;518
Murcia, Región de;Abril;Total;999
Murcia, Región de;Abril;Varones;511
Murcia, Región de;Abril;Mujeres;488
Murcia, Región de;Mayo;Total;915
Murcia, Región de;Mayo;Varones;494
Murcia, Región de;Mayo;Mujeres;421
Murcia, Región de;Junio;Total;848
Murcia, Región de;Junio;Varones;434
Murcia, Región de;Junio;Mujeres;414
Navarra, Comunidad Foral de;Total;Total;3.581
Navarra, Comunidad Foral de;Total;Varones;1.788
Navarra, Comunidad Foral de;Total;Mujeres;1.793
Navarra, Comunidad Foral de;Enero;Total;572
Navarra, Comunidad Foral de;Enero;Varones;280
Navarra, Comunidad Foral de;Enero;Mujeres;292
Navarra, Comunidad Foral de;Febrero;Total;509
Navarra, Comunidad Foral de;Febrero;Varones;243
Navarra, Comunidad Foral de;Febrero;Mujeres;266
Navarra, Comunidad Foral de;Marzo;Total;793
Navarra, Comunidad Foral de;Marzo;Varones;426
Navarra, Comunidad Foral de;Marzo;Mujeres;367
Navarra, Comunidad Foral de;Abril;Total;862
Navarra, Comunidad Foral de;Abril;Varones;402
Navarra, Comunidad Foral de;Abril;Mujeres;460
Navarra, Comunidad Foral de;Mayo;Total;438
Navarra, Comunidad Foral de;Mayo;Varones;226
Navarra, Comunidad Foral de;Mayo;Mujeres;212
Navarra, Comunidad Foral de;Junio;Total;407
Navarra, Comunidad Foral de;Junio;Varones;211
Navarra, Comunidad Foral de;Junio;Mujeres;196
País Vasco;Total;Total;12.530
País Vasco;Total;Varones;6.113
País Vasco;Total;Mujeres;6.417
País Vasco;Enero;Total;2.126
País Vasco;Enero;Varones;1.053
País Vasco;Enero;Mujeres;1.073
País Vasco;Febrero;Total;1.843
País Vasco;Febrero;Varones;869
País Vasco;Febrero;Mujeres;974
País Vasco;Marzo;Total;2.543
País Vasco;Marzo;Varones;1.316
País Vasco;Marzo;Mujeres;1.227
País Vasco;Abril;Total;2.762
País Vasco;Abril;Varones;1.309
País Vasco;Abril;Mujeres;1.453
País Vasco;Mayo;Total;1.745
País Vasco;Mayo;Varones;822
País Vasco;Mayo;Mujeres;923
País Vasco;Junio;Total;1.511
País Vasco;Junio;Varones;744
País Vasco;Junio;Mujeres;767
Rioja, La;Total;Total;1.981
Rioja, La;Total;Varones;1.028
Rioja, La;Total;Mujeres;953
Rioja, La;Enero;Total;306
Rioja, La;Enero;Varones;166
Rioja, La;Enero;Mujeres;140
Rioja, La;Febrero;Total;256
Rioja, La;Febrero;Varones;140
Rioja, La;Febrero;Mujeres;116
Rioja, La;Marzo;Total;423
Rioja, La;Marzo;Varones;228
Rioja, La;Marzo;Mujeres;195
Rioja, La;Abril;Total;478
Rioja, La;Abril;Varones;229
Rioja, La;Abril;Mujeres;249
Rioja, La;Mayo;Total;269
Rioja, La;Mayo;Varones;143
Rioja, La;Mayo;Mujeres;126
Rioja, La;Junio;Total;249
Rioja, La;Junio;Varones;122
Rioja, La;Junio;Mujeres;127
Ceuta;Total;Total;327
